name3,gen.name2,ranking,temp.niche.width,water.niche.width,PC2.p,PC3.p,PC2.t,a.gal,a.tab,m.tre,p.fla,p.ruf,h.set,p.rob,s.com,Annual.Mean.Temperature,Mean.Diurnal.Range,Isothermality,Temperature.Seasonality,Max.Temperature.of.Warmest.Month,Min.Temperature.of.Coldest.Month,Temperature.Annual.Range,Mean.Temperature.of.Wettest.Quarter,Mean.Temperature.of.Driest.Quarter,Mean.Temperature.of.Warmest.Quarter,Mean.Temperature.of.Coldest.Quarter,Annual.Precipitation,Precipitation.of.Wettest.Month,Precipitation.of.Driest.Month,Precipitation.Seasonality,Precipitation.of.Wettest.Quarter,Precipitation.of.Driest.Quarter,Precipitation.of.Warmest.Quarter,Precipitation.of.Coldest.Quarter
a.gal1.s,Armillaria_gallica_FP102531_C6D,0.054054054,24.7,3.01,1.097386556,-0.672395019,1.670698126,1,0,0,0,0,0,0,0,197,105,38,6237,327,52,275,269,158,273,114,1603,170,81,19,492,313,472,409
a.gal10.n,Armillaria_gallica_EL8_A6F,0.027027027,13.3,2.08,-0.080025079,0.509803489,0.813528911,1,0,0,0,0,0,0,0,75,114,27,10618,283,-139,422,193,-71,204,-71,806,102,27,38,293,97,284,97
a.gal2.s,Armillaria_gallica_FP102534_A5A,0.054054054,24.4,3.71,1.097386556,-0.672395019,1.670698126,1,0,0,0,0,0,0,0,197,105,38,6237,327,52,275,269,158,273,114,1603,170,81,19,492,313,472,409
a.gal3.s,Armillaria_gallica_FP102535_A5D,0.054054054,24.3,4.3,1.097386556,-0.672395019,1.670698126,1,0,0,0,0,0,0,0,197,105,38,6237,327,52,275,269,158,273,114,1603,170,81,19,492,313,472,409
a.gal5.s,Armillaria_gallica_FP102542_A5B,0.135135135,18.2,2.57,1.252372438,-1.001332216,1.246376805,1,0,0,0,0,0,0,0,183,135,43,6482,332,21,311,111,188,263,96,1604,167,81,17,456,324,422,437
a.gal6.n,Armillaria_gallica_HHB12551_C6C,0,16.2,4.15,-0.269458367,0.597290244,0.870202053,1,0,0,0,0,0,0,0,71,120,27,10744,280,-151,431,190,-76,203,-76,804,102,25,41,295,87,293,87
a.gal8.n,Armillaria_gallica_OC1_A6E,0.027027027,15.4,2.36,0.359648323,0.357246136,0.493806564,1,0,0,0,0,0,0,0,65,116,27,10281,272,-144,416,192,-74,192,-74,773,88,28,32,261,106,261,106
a.gal9.n,Armillaria_gallica_SH1_A4A,0.162162162,9.3,2.04,0.512056408,0.284603803,0.037560441,1,0,0,0,0,0,0,0,76,96,25,9797,267,-115,382,192,-55,198,-55,801,97,32,29,270,118,255,118
a.sin.n,Armillaria_sinapina_PR9,0.135135135,16,1.74,0.986094189,-0.080819231,-0.99508801,0,0,0,0,0,0,0,0,46,106,27,9622,243,-138,381,125,-31,165,-80,850,97,42,22,271,146,245,173
a.tab.n,Armillaria_tabescens_FP102622_A3C,0.135135135,18.2,3.43,1.244282996,0.007542804,0.588392772,0,1,0,0,0,0,0,0,95,123,33,8831,284,-86,370,184,-24,204,-24,942,103,52,19,294,177,286,177
a.tab.s,Armillaria_tabescens_TJV93_261_A1E,0,15.8,1.32,1.119632464,-0.511000685,1.708611372,0,1,0,0,0,0,0,0,204,105,38,5941,328,58,270,275,168,275,124,1554,174,75,18,475,309,475,385
f.fom.n,Fomes_fomentarius_TJV93_7_A3E,0.081081081,9.3,1.19,-0.212193001,0.595113419,0.804148066,0,0,0,0,0,0,0,0,73,115,26,10719,280,-146,426,192,-74,204,-74,818,103,26,40,300,91,299,91
h.crust.n,Hyphodontia_crustosa_HHB13392_B7B,0.324324324,23.2,1.19,-0.01344196,-0.947684013,-4.772508716,0,0,0,0,0,0,0,0,25,72,29,6344,157,-91,248,26,57,108,-52,1430,187,72,32,511,229,290,377
